Song Title,Artist,Google BPM,Spotify bpm,Songwise Bpm,Deezer BPM,Deezer Track URL,SongBPM BPM,SongBPM URL,Tunebat BPM,Tunebat URL
Knew I Loved You,Savage Garden,86,85,94.7,84.9,https://www.deezer.com/track/15178704,170,https://songbpm.com/@savage-garden/i-knew-i-loved-you,,
Faint,Linkin Park,135,135,131.4,,https://www.deezer.com/track/14628999,135,https://songbpm.com/@linkin-park/faint,,
All Along the Watchtower,Jimi Hendrix,115,113,117.8,113.6,https://www.deezer.com/track/4952889,113,https://songbpm.com/@jimi-hendrix/all-along-the-watchtower,,
Black Tangled Heart,Silverchair,138,138,131.4,137.3,https://www.deezer.com/track/848920,138,https://songbpm.com/@silverchair/black-tangled-heart,,
Señorita,Justin Timberlake,98,98,104.5,,https://www.deezer.com/track/970667,98,https://songbpm.com/@justin-timberlake/senorita,,
She Loves You,The Beatles,152,75,76.0,149.8,https://www.deezer.com/track/116348596,,,,
Now And Then,The Beatles,87,87,94.7,,https://www.deezer.com/track/2522288451,,,,
Here Comes The Sun,The Beatles,130,127,91.5,128.4,https://www.deezer.com/track/116348464,,,,
Sunsets,Powderfinger,167,167,166.7,167.4,https://www.deezer.com/track/2539158,167,https://songbpm.com/@powderfinger/sunsets,,
Semi-Charmed Life,Third Eye Blind,102,102,107.4,102.1,https://www.deezer.com/track/685709,102,https://songbpm.com/@third-eye-blind/semi-charmed-life,,
Pink Pony Club,Chappell Roan,107,107,110.6,,https://www.deezer.com/track/2454854845,107,https://songbpm.com/@chappell-roan/pink-pony-club,,
Tequila,Dan + Shay,86,86,90.7,172.27,https://www.deezer.com/track/441821132,86,https://songbpm.com/@dan-shay/tequila,,
Naive,The Kooks,103,101,107.4,102.3,https://www.deezer.com/track/3158004,103,https://songbpm.com/@the-kooks/naive,,
Don't Dream It's Over,Crowded House,82,81,161.5,162.13,https://www.deezer.com/track/7272485,82,https://songbpm.com/@crowded-house/don-t-dream-it-s-over,,
Better Be Home Soon,Crowded House,92,94,99.2,92.5,https://www.deezer.com/track/7272472,94,https://songbpm.com/@crowded-house/better-be-home-soon,,
Baby Did A Bad Bad Thing,Chris Isaak,153,148,152.0,,https://www.deezer.com/track/1391362332,153,https://songbpm.com/@chris-isaak/baby-did-a-bad-bad-thing,,
Tennessee Whiskey,Chris Stapleton,50,49,98.4,152,https://www.deezer.com/track/98975170,49,https://songbpm.com/@chris-stapleton/tennessee-whiskey,,
